OBJECTID,MISCTYPE,COMMENTS,SHAPE_STArea__,SHAPE_STLength__,OBJECTID_1,SHAPE__Area,SHAPE__Length
8551,Deck_Porch_Patio,none,,,8551,25.13671875,20.0581366390787
8552,Deck_Porch_Patio,none,,,8552,17.12890625,16.7914747566375
8553,Deck_Porch_Patio,none,,,8553,44.62890625,27.3018783564768
8554,Deck_Porch_Patio,none,,,8554,86.66796875,38.8872150837639
8555,Deck_Porch_Patio,none,,,8555,14.3515625,15.5534882191372
8556,Deck_Porch_Patio,none,,,8556,94.49609375,53.8257034717522
8557,Deck_Porch_Patio,none,,,8557,41.7578125,29.7571043673442
8558,Deck_Porch_Patio,none,,,8558,14.3359375,16.0875939151266
8559,Deck_Porch_Patio,none,,,8559,39.765625,25.225549174933
8560,Deck_Porch_Patio,none,,,8560,19.4375,17.9238730113308
8561,Deck_Porch_Patio,none,,,8561,30.23828125,22.1678067523341
8562,Deck_Porch_Patio,none,,,8562,23.2578125,20.1506812933884
8563,Deck_Porch_Patio,none,,,8563,17.33984375,17.028801533399
8564,Deck_Porch_Patio,none,,,8564,35.234375,23.9500131233325
8565,Deck_Porch_Patio,none,,,8565,27.9453125,22.2362015312996
8566,Deck_Porch_Patio,none,,,8566,14.03515625,14.994155410612
8567,Deck_Porch_Patio,none,,,8567,39.42578125,25.1784287749891
8568,Deck_Porch_Patio,none,,,8568,189.5390625,117.425175582044
8569,Deck_Porch_Patio,none,,,8569,23.94140625,19.5744434925286
8570,Deck_Porch_Patio,none,,,8570,43.55078125,25.3936883841471
8571,Building Canopy,none,,,8571,10.11328125,15.0549694763464
8572,Deck_Porch_Patio,none,,,8572,19.64453125,17.7304837675021
8573,Deck_Porch_Patio,none,,,8573,23.89453125,19.7779038368925
8574,Deck_Porch_Patio,none,,,8574,12.921875,14.7916937853202
8575,Deck_Porch_Patio,none,,,8575,28.58203125,22.3047283429243
8576,Deck_Porch_Patio,none,,,8576,27.12109375,21.6311893066972
8577,Deck_Porch_Patio,none,,,8577,11.76171875,13.9693722114436
8578,Deck_Porch_Patio,none,,,8578,36.3203125,25.7844630807428
8579,Deck_Porch_Patio,none,,,8579,32.1640625,22.7853831258715
8580,Deck_Porch_Patio,none,,,8580,13.5859375,20.5971027317135
8581,Deck_Porch_Patio,none,,,8581,40.3828125,27.2412982785729
8582,Deck_Porch_Patio,none,,,8582,60.1015625,31.8848641360228
8583,Deck_Porch_Patio,none,,,8583,39.40625,25.3228467265274
8584,Deck_Porch_Patio,none,,,8584,48.828125,36.0413816610108
8585,Deck_Porch_Patio,none,,,8585,17.75,18.3301087709819
8586,Deck_Porch_Patio,none,,,8586,341.6953125,153.572090704923
8587,Deck_Porch_Patio,none,,,8587,33.53515625,23.8564911005475
8588,Deck_Porch_Patio,none,,,8588,16.58984375,18.1502524930624
